threshold	merge_dist	min_width	num_peaks_tss_overlap_plus	num_peaks_tss_overlap_minus	num_peaks_plus	num_peaks_minus	plus_positive_overlap	plus_negative_overlap	minus_positive_overlap	minus_negative_overlap
1.99	3	20	402	407	612	618	341	61	343	64
2.0	3	20	401	404	613	608	341	60	342	62
2.01	3	20	401	399	610	604	341	60	341	58
2.02	3	20	399	394	604	600	340	59	337	57
2.03	3	20	392	390	598	590	334	58	334	56
2.04	3	20	390	388	591	585	332	58	333	55
2.05	3	20	387	385	590	580	330	57	330	55
2.06	3	20	384	379	585	576	330	54	327	52
2.07	3	20	380	376	574	570	327	53	324	52
2.08	3	20	377	373	566	566	326	51	320	53
2.09	3	20	375	371	557	564	326	49	320	51
2.1	3	20	374	371	557	566	326	48	319	52
2.11	3	20	370	368	553	557	322	48	317	51
2.12	3	20	370	370	554	557	322	48	317	53
2.13	3	20	367	369	545	550	320	47	316	53
2.14	3	20	365	366	537	546	318	47	316	50
2.15	3	20	359	359	533	542	314	45	308	51
2.16	3	20	356	356	529	532	312	44	306	50
2.17	3	20	351	356	526	528	309	42	306	50
2.18	3	20	347	355	521	526	306	41	305	50
2.19	3	20	343	351	517	524	301	42	303	48
2.2	3	20	338	348	507	519	297	41	302	46
2.21	3	20	337	350	503	517	296	41	303	47
2.22	3	20	335	346	500	510	294	41	301	45
2.23	3	20	334	345	495	505	293	41	299	46
2.24	3	20	333	344	488	502	292	41	298	46
2.25	3	20	331	340	489	493	291	40	296	44
2.26	3	20	332	339	491	493	291	41	294	45
2.27	3	20	328	335	481	483	287	41	290	45
2.28	3	20	325	330	478	483	284	41	286	44
2.29	3	20	321	329	474	478	281	40	285	44
2.3	3	20	318	328	470	479	277	41	285	43
2.31	3	20	314	325	467	473	274	40	281	44
2.32	3	20	312	324	464	476	272	40	280	44
2.33	3	20	312	324	462	471	272	40	280	44
2.34	3	20	307	318	458	465	268	39	276	42
2.35	3	20	303	318	456	463	266	37	276	42
2.36	3	20	303	318	455	468	267	36	276	42
2.37	3	20	301	315	446	465	266	35	273	42
2.38	3	20	301	311	442	461	266	35	270	41
2.39	3	20	302	308	442	450	266	36	268	40
2.4	3	20	300	306	437	447	266	34	266	40
2.41	3	20	299	302	435	441	265	34	262	40
2.42	3	20	295	298	429	433	261	34	259	39
2.43	3	20	292	298	426	432	256	36	259	39
2.44	3	20	292	294	423	424	256	36	258	36
2.45	3	20	289	293	421	424	253	36	257	36
2.46	3	20	285	291	415	414	251	34	255	36
2.47	3	20	285	285	413	411	251	34	250	35
2.48	3	20	285	284	413	410	251	34	249	35
2.49	3	20	283	283	412	409	250	33	248	35
